Window_index,Stage,MAE_1,MAPE_1,RMSE_1,Accuracy(2000)_1,Accuracy(3000)_1,MAE_2,MAPE_2,RMSE_2,Accuracy(2000)_2,Accuracy(3000)_2,MAE_3,MAPE_3,RMSE_3,Accuracy(2000)_3,Accuracy(3000)_3,MAE_4,MAPE_4,RMSE_4,Accuracy(2000)_4,Accuracy(3000)_4,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
27,Inferencing,3566.2001953125036,6.55,3589.1832759256504,0.0,25.0,3553.1689453125036,6.51,3650.111586106669,0.0,25.0,4970.869140624998,9.22,5177.469516112925,0.0,0.0,2939.1708984375036,5.46,3119.292520237393,25.0,50.0,2,2,0,0.5731947422027588,4
28,Inferencing,475.28125000000546,0.90,536.2145084329236,100.0,100.0,365.38085937499636,0.69,384.3826135889244,100.0,100.0,14059.638671874996,26.83,15585.188317809829,0.0,0.0,838.1376953124982,1.61,920.9997174037849,100.0,100.0,4,0,0,0.37552309036254883,4
29,Inferencing,3284.6474609375,6.29,3452.36148287257,25.0,25.0,3180.0009765625,6.12,3255.299089354446,25.0,25.0,2793.9541015625,5.41,2977.840457873007,25.0,75.0,2066.2080078125,4.06,2161.3803759221173,50.0,100.0,3,1,0,0.47090816497802734,4
30,Inferencing,2229.2431640625,4.40,2310.055808635006,50.0,100.0,2025.4921875,4.00,2267.697732483935,50.0,75.0,4547.510742187502,9.02,4579.7470320204675,0.0,0.0,2869.412109375002,5.60,3027.940105907897,25.0,50.0,4,0,0,0.37088894844055176,4
31,Inferencing,3477.996093750002,6.79,3547.00042335609,0.0,25.0,3567.277343750002,6.96,3601.453549498743,0.0,25.0,4311.20703125,8.42,4335.6863642159315,0.0,0.0,3477.3369140625,6.81,3487.658565108291,0.0,0.0,4,0,0,0.43152761459350586,4
32,Inferencing,1615.3896484374982,3.16,1669.4650253980672,75.0,100.0,1794.9765624999982,3.47,1903.9596831577132,75.0,100.0,12573.295898437502,24.21,15077.373784913229,0.0,25.0,2844.499999999998,5.41,2979.1793629450353,0.0,75.0,4,0,0,0.47333455085754395,4
33,Inferencing,1576.9296875000018,2.98,1899.5080506047982,50.0,100.0,1207.2470703124982,2.30,1577.4587819598319,75.0,100.0,8899.162109374998,17.47,9441.6320442522,0.0,0.0,1378.9023437500018,2.80,1661.7739815494474,50.0,100.0,3,1,0,0.6673679351806641,4
34,Inferencing,284.2021484375,0.57,344.0200192315115,100.0,100.0,935.7431640625,1.90,1022.3964655141225,100.0,100.0,2748.142578125,5.61,3549.9538339487485,75.0,75.0,566.716796875,1.14,657.2042552341238,100.0,100.0,3,1,0,0.49084973335266113,4
35,Inferencing,1598.240234375,3.27,1827.5234031024129,50.0,100.0,1829.8046875,3.75,2033.5907926754692,50.0,100.0,9284.828125,19.14,10245.707891402415,0.0,25.0,2001.4638671875,4.14,2233.639238696747,50.0,100.0,4,0,0,0.3701174259185791,4
36,Inferencing,2873.037109375,5.93,2987.950786775121,25.0,50.0,2484.740234375,5.11,2750.2532584922924,25.0,50.0,9959.349609375,20.01,10253.332252870667,0.0,0.0,1109.501953125,2.22,1256.2715764438924,100.0,100.0,2,2,0,0.5576891899108887,4
37,Inferencing,1244.8076171875,2.47,1403.440813993059,75.0,100.0,1423.6796875,2.83,1642.8116476183372,75.0,100.0,16301.14453125,32.56,16438.57043359793,0.0,0.0,1552.8984375,3.13,1830.0026489217796,50.0,100.0,2,2,0,0.7721037864685059,4
38,Inferencing,2735.6845703125,5.52,2780.1052713448403,25.0,50.0,2922.7548828125,5.91,2943.8391966603085,0.0,50.0,13425.2294921875,27.13,13604.33380784499,0.0,0.0,2557.396484375,5.17,2610.9110245229467,25.0,75.0,2,2,0,0.6636466979980469,4
39,Inferencing,2369.8056640625,4.78,2474.765136048947,50.0,75.0,2768.4794921875,5.63,2953.0190766380724,50.0,50.0,13608.0322265625,27.85,14073.296974631214,0.0,0.0,3295.4677734375,6.82,3506.70967341843,25.0,50.0,0,4,0,0.9529378414154053,4
40,Inferencing,3954.95703125,8.22,4053.7391554648293,0.0,25.0,4468.4755859375,9.35,4605.478879174661,0.0,0.0,17444.220703125,36.70,18142.911671174585,0.0,0.0,4375.9775390625,9.22,4585.860727345211,0.0,25.0,2,2,0,0.6031913757324219,4
41,Inferencing,969.9453125,2.04,1199.2557191058313,100.0,100.0,861.91015625,1.81,1179.0399869879066,100.0,100.0,4672.8681640625,9.75,6192.036495599279,50.0,50.0,1264.685546875,2.58,1316.6148521287955,100.0,100.0,1,3,0,0.6432461738586426,4
