Window_index,Stage,MAE_1,MAPE_1,RMSE_1,Accuracy(2000)_1,Accuracy(3000)_1,MAE_2,MAPE_2,RMSE_2,Accuracy(2000)_2,Accuracy(3000)_2,MAE_3,MAPE_3,RMSE_3,Accuracy(2000)_3,Accuracy(3000)_3,MAE_4,MAPE_4,RMSE_4,Accuracy(2000)_4,Accuracy(3000)_4,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
13,Training,2099.054443359375,5.11,2761.942626953125,62.75,73.53,2233.991943359375,5.45,2930.46435546875,59.8,72.55,2382.432861328125,5.77,3080.19677734375,53.43,70.59,2457.28515625,5.94,3116.298095703125,50.49,68.14,4,0,0,0.3705472946166992,4
14,Training,2092.811767578125,5.11,2744.256103515625,62.75,73.53,2240.62060546875,5.48,2939.597900390625,59.8,71.57,2451.618896484375,5.94,3173.9873046875,52.45,69.12,2466.633544921875,5.97,3121.83349609375,50.0,67.65,4,0,0,0.37631797790527344,4
15,Training,2091.978271484375,5.12,2744.781494140625,62.75,73.53,2255.23974609375,5.51,2943.72216796875,59.8,71.57,2502.4423828125,6.05,3212.92333984375,51.47,68.63,2490.207275390625,6.03,3131.64501953125,48.53,67.65,4,0,0,0.37647151947021484,4
16,Training,2033.833984375,5.00,2693.45947265625,63.73,74.51,2203.964111328125,5.41,2902.813720703125,58.82,70.59,2467.73779296875,5.98,3203.49755859375,51.96,67.65,2452.50390625,5.95,3098.3310546875,50.0,68.14,3,1,0,0.45897912979125977,4
17,Training,1818.69189453125,4.48,2432.18798828125,68.63,75.0,2012.8353271484375,4.94,2662.551513671875,61.76,70.59,2282.87158203125,5.50,2897.6484375,54.41,69.12,2289.788330078125,5.54,2882.914794921875,51.96,68.14,3,1,0,0.6792004108428955,4
18,Training,1825.7850341796875,4.49,2433.673583984375,68.63,75.0,2011.3712158203125,4.94,2662.57666015625,61.76,70.59,2371.534423828125,5.70,2998.8857421875,52.45,67.65,2289.279296875,5.55,2883.09521484375,51.96,68.14,4,0,0,0.5175623893737793,4
19,Training,1816.150634765625,4.48,2431.235595703125,68.63,75.0,1999.506103515625,4.93,2654.518310546875,62.25,71.08,2427.111572265625,5.83,3055.57568359375,51.47,66.18,2241.11767578125,5.45,2849.966064453125,53.43,69.12,4,0,0,0.4997692108154297,4
20,Training,1654.66357421875,4.09,2237.010498046875,69.61,79.41,1840.921875,4.54,2465.346923828125,65.2,75.0,2223.0830078125,5.33,2809.400634765625,52.45,69.61,2117.697021484375,5.14,2700.618408203125,55.88,73.04,3,1,0,0.567112922668457,4
21,Training,1341.288330078125,3.27,1829.3837890625,76.47,86.27,1516.725830078125,3.69,2065.06201171875,72.55,82.35,1728.9072265625,4.14,2333.77978515625,67.16,79.9,1765.505859375,4.24,2289.37548828125,66.67,78.92,2,2,0,0.5755858421325684,4
22,Training,1158.84423828125,2.79,1514.8438720703125,80.88,94.12,1295.486083984375,3.12,1710.274658203125,77.45,90.69,1527.015625,3.61,2130.859130859375,70.59,86.76,1571.8902587890625,3.72,2047.801513671875,71.08,86.76,1,3,0,0.6561641693115234,4
23,Training,1169.521728515625,2.80,1523.5166015625,79.9,93.14,1323.7528076171875,3.16,1734.462890625,75.49,89.71,1627.2574462890625,3.80,2305.7412109375,69.12,86.27,1619.8388671875,3.80,2121.609130859375,69.61,85.78,3,1,0,0.4600858688354492,4
24,Training,1130.7626953125,2.67,1456.283203125,81.86,94.61,1277.78857421875,3.01,1656.954345703125,78.92,92.65,1520.704833984375,3.54,2112.37646484375,74.51,88.73,1567.503662109375,3.65,2059.026611328125,71.57,88.24,2,2,0,0.7146275043487549,4
25,Training,1155.4342041015625,2.71,1485.818359375,81.37,93.63,1300.0601806640625,3.04,1675.979736328125,78.92,91.67,1558.822021484375,3.60,2186.979248046875,74.02,88.24,1620.4637451171875,3.73,2129.01611328125,70.59,87.75,3,1,0,0.4891326427459717,4
26,Training,1148.1427001953125,2.69,1461.021728515625,83.33,95.1,1332.83251953125,3.10,1727.894775390625,80.39,90.69,1560.59814453125,3.59,2094.83349609375,75.0,87.25,1691.051513671875,3.88,2231.546875,72.06,86.27,3,1,0,0.5791456699371338,4
27,Training,1120.723388671875,2.60,1412.3072509765625,82.84,96.08,1284.3197021484375,2.97,1616.3707275390625,79.41,93.63,1549.1436767578125,3.52,2032.397705078125,75.98,88.24,1629.63232421875,3.72,2064.358154296875,71.57,86.27,2,2,0,0.5731947422027588,4
28,Training,1181.6123046875,2.71,1497.09130859375,80.88,94.61,1346.8988037109375,3.08,1694.024169921875,77.45,92.16,1627.032470703125,3.66,2152.26318359375,74.02,86.27,1675.551513671875,3.81,2107.939453125,70.1,85.29,4,0,0,0.37552309036254883,4
29,Training,1214.75830078125,2.79,1527.146484375,79.41,94.61,1386.6090087890625,3.17,1757.4190673828125,76.96,91.18,1718.7591552734375,3.85,2293.876220703125,72.06,82.84,1735.2540283203125,3.94,2222.752685546875,68.63,84.8,3,1,0,0.47090816497802734,4
30,Training,1269.044677734375,2.89,1599.8302001953125,77.94,93.14,1435.8065185546875,3.27,1812.91943359375,75.49,89.71,1766.543212890625,3.94,2330.791015625,70.59,82.35,1748.77783203125,3.97,2233.875,68.14,84.8,4,0,0,0.37088894844055176,4
31,Training,1285.1246337890625,2.92,1606.3175048828125,77.45,93.63,1424.3125,3.24,1792.572265625,75.49,90.2,1806.682861328125,4.01,2384.333984375,70.1,81.37,1730.3177490234375,3.91,2202.457763671875,68.14,85.29,4,0,0,0.43152761459350586,4
32,Training,1333.7764892578125,3.01,1672.463623046875,75.98,92.16,1475.54150390625,3.33,1856.2449951171875,73.53,88.73,1858.3311767578125,4.10,2446.37890625,68.63,79.41,1764.5543212890625,3.98,2235.744873046875,66.67,83.82,4,0,0,0.47333455085754395,4
33,Training,1253.942138671875,2.84,1564.370361328125,79.9,93.63,1408.5572509765625,3.19,1768.714111328125,73.53,92.16,1688.7320556640625,3.78,2195.548583984375,71.08,85.29,1699.8035888671875,3.85,2153.263427734375,64.22,85.78,3,1,0,0.6673679351806641,4
34,Training,1253.379150390625,2.82,1559.2838134765625,79.9,93.63,1364.6898193359375,3.09,1698.7220458984375,74.51,93.14,1832.3306884765625,4.04,2468.651123046875,69.61,82.84,1637.0311279296875,3.71,2032.2110595703125,64.71,86.76,3,1,0,0.49084973335266113,4
35,Training,1223.7469482421875,2.76,1532.7969970703125,80.88,94.12,1362.1119384765625,3.08,1692.685791015625,75.0,93.14,1873.078857421875,4.12,2515.552978515625,69.12,82.35,1635.2191162109375,3.71,2030.1668701171875,64.71,86.76,4,0,0,0.3701174259185791,4
36,Training,1199.1240234375,2.72,1511.495361328125,81.86,94.61,1346.96923828125,3.05,1681.0860595703125,74.51,92.65,1858.9912109375,4.09,2420.659912109375,68.63,81.37,1620.23779296875,3.68,2019.7989501953125,63.73,86.76,2,2,0,0.5576891899108887,4
37,Training,1193.5853271484375,2.69,1512.616455078125,81.86,93.63,1344.9781494140625,3.04,1684.0567626953125,75.0,91.67,1819.641357421875,4.01,2292.632080078125,66.67,82.84,1609.3297119140625,3.65,2006.9730224609375,66.18,86.76,2,2,0,0.7721037864685059,4
38,Training,1202.3426513671875,2.70,1510.1939697265625,81.37,94.12,1350.7059326171875,3.04,1679.705810546875,76.47,93.63,1760.904296875,3.89,2239.2861328125,69.12,84.31,1598.0328369140625,3.62,1995.0869140625,66.18,87.25,2,2,0,0.6636466979980469,4
39,Training,1164.5260009765625,2.62,1465.814453125,83.33,95.59,1325.2591552734375,2.99,1645.5849609375,77.45,94.12,1706.477294921875,3.77,2207.42822265625,72.06,87.25,1579.071044921875,3.57,1967.54443359375,68.63,88.73,0,4,0,0.9529378414154053,4
40,Training,1159.6651611328125,2.61,1452.0787353515625,84.8,95.59,1331.0316162109375,2.99,1639.857177734375,78.92,94.12,1710.1014404296875,3.78,2210.51806640625,72.06,86.76,1579.5775146484375,3.57,1958.17822265625,68.14,89.22,2,2,0,0.6031913757324219,4
41,Training,1127.3997802734375,2.54,1414.16064453125,86.27,95.59,1294.8509521484375,2.91,1602.2681884765625,80.39,94.61,1671.7542724609375,3.70,2130.259765625,72.06,87.75,1550.2939453125,3.50,1928.86376953125,71.57,90.2,1,3,0,0.6432461738586426,4
42,Training,1109.865234375,2.50,1386.5377197265625,87.75,96.57,1257.7418212890625,2.83,1549.2933349609375,81.37,96.08,1632.747802734375,3.61,2111.502197265625,73.53,88.24,1471.6005859375,3.31,1804.12646484375,71.57,92.16,3,1,0,0.46410703659057617,4
43,Training,1078.2529296875,2.42,1338.509765625,88.73,97.55,1229.8062744140625,2.75,1499.53955078125,82.35,96.57,1618.8465576171875,3.56,2095.865478515625,74.51,88.73,1457.367919921875,3.27,1781.8409423828125,72.55,92.65,4,0,0,0.37644028663635254,4
44,Training,1093.746826171875,2.44,1349.5245361328125,88.73,97.55,1245.5352783203125,2.78,1511.26123046875,82.35,96.57,1618.1988525390625,3.56,2095.6416015625,74.51,88.73,1467.56982421875,3.28,1788.9708251953125,72.06,92.65,4,0,0,0.4723811149597168,4
